text, labels
"The aim of the experiment was to produce Sn(IV) iodide from its constituent elements and perform a series of tests on the end product to examine reactivity. 1.00g of tin and 2.5g of iodine were transferred to a quick fit 100cm3 round-bottom flask, using a plastic funnel.  10cm3 of toluene and 2-3 bumping crystals were added. A reflux condenser was attached, and the heating mantle and water was switched on. The solution was heated until the condensing solvent became clear. Solution was decanted into a conical flask, leaving the remaining tin. 10cm3 of petroleum spirit 40/60 was added to the conical flask and cooled to room temperature. The remaining tin was washed with acetone and left to dry on a watch glass after being weighed. Orange crystals in the conical flask were filtered using a Buchner funnel after being washed with petroleum spirit. The crystals were then weighed. A heaped micro spatula of crystals was dissolved in 20ml of water and pH recorded.  A series of tests were carried out. 1-2ml of the solution was transferred to 3 test tubes 5 drops of 0.1 M silver nitrate were added The end of a copper wire was heated until red hot in a Bunsen burner, then dipped into the solution and placed back in the flame. The colour was noted. 10 drops of 3% H2O2 was added. The solution was shaken for 30 seconds and 2-3ml of petrol was added. The resulting solution was mixed again.", 0.7
"The experiment aims to form SnI4 using a reflux condenser and test the properties of the compound formed. 1.00g of tin and 2.50g of iodine pellets are placed into a round bottom flask along with 10cm3 of toluene, and anti-bumping granules. The round bottom flask is placed on to a heating mantle and connected to a reflux condenser and the entire set-up is stabilised using clamps.  Upon turning on the water for the condenser, the contents of the flask were heated at around 160�C until the condensing solvent turns from purple to a colourless liquid. The mixture was then poured into a conical flask and 10cm3 of petroleum spirit 40/60 was added. A Buchner funnel was set up to obtain crystals from the cooled mixture. 3 different tests were then carried out on the crystals which were dissolved in water. The first test consisted of adding 0.1M of silver nitrate to the solution. The second test is known as the Beilstein test which is carried out by heating a wire copper, immersing the copper in the dissolved crystal solution and heating the wire again over a Bunsen flame. The last test was carried out by first adding 3% hydrogen peroxide and later petrol. The experiment aims to form SnI4 using a reflux condenser and test the properties of the compound formed. 1.00g of tin and 2.50g of iodine pellets are placed into a round bottom flask along with 10cm3 of toluene, and anti-bumping granules. The round bottom flask is placed on to a heating mantle and connected to a reflux condenser and the entire set-up is stabilised using clamps.  Upon turning on the water for the condenser, the contents of the flask were heated at around 160�C until the condensing solvent turns from purple to a colourless liquid. The mixture was then poured into a conical flask and 10cm3 of petroleum spirit 40/60 was added. A Buchner funnel was set up to obtain crystals from the cooled mixture. 3 different tests were then carried out on the crystals which were dissolved in water.", 0.55
"Tin (1.0 g) and iodine (2.5 g) were mixed with toluene (10 cm3) and heated under reflux. When the solution turned orange, petroleum spirit 40/60 (10 cm3) was added to the decanted hot solution, and this was cooled in an ice bath for 5 minutes, forming orange crystals of SnI4. The crystals were then filtered under reduced pressure, washed with cold petroleum spirit (10 cm3), and weighed (2.15 g). The residual tin left in the reaction flask was washed with acetone, dried, then also weighed (0.43 g). SnI4 was then dissolved in water (18 cm3), shaken, and the pH determined (2). Three tests were then performed: firstly, 5 drops of silver nitrate solution (0.1 M) were added to the solution (2 mL) which was then shaken, forming an opaque, pale yellow precipitate. Secondly, a hot copper wire was dipped in the solution (2 mL) and held over a Bunsen flame to produce a light, neon-green flame. Lastly, 10 drops of hydrogen peroxide (3%) were added to the solution (2mL), forming a transparent, dark yellow colour. This solution was shaken and petrol (3 mL) was added. A biphasic solution- purple on the top layer and dark orange at the bottom- was formed upon gentle swirling. Tin (1.0 g) and iodine (2.5 g) were mixed with toluene (10 cm3) and heated under reflux. When the solution turned orange, petroleum spirit 40/60 (10 cm3) was added to the decanted hot solution, and this was cooled in an ice bath for 5 minutes, forming orange crystals of SnI4. The crystals were then filtered under reduced pressure, washed with cold petroleum spirit (10 cm3), and weighed (2.15 g). The residual tin left in the reaction flask was washed with acetone, dried, then also weighed (0.43 g).", 0.8
"The aim of this experiment was to prepare SnI4 from its constituent elements, isolate the compound, and to investigate its reactivity. 1.0g of tin metal, 2.5g of iodine, 10cm3 of toluene and 3 anti-bumping granules was added to a 100mL conical flask.  The flask was heated under reflux until all vapour turned clear.  The remaining solution along with 10cm3 of petroleum spirit 40-60 was added to a different 100mL conical flask and placed in ice bath.  The suspension was washed with 10cm3 of cold petrol 40-60 and dried under suction for several minutes to afford the SnI4 as orange crystals.  Residual tin in reaction flask was washed with acetone and weighed once dried. A microspatula tip of the SnI4 crystals was fully dissolved in 20mL of water and 2mL of the solution was added to 3 test tubes each. 3 tests were performed on each test boiling tube and observations recorded: 5 drops of 0.1M silver nitrate were added to the test tube and mixture shaken End of copper wire was heated until glowing red.  The wire was dipped in the solution and placed back in the flame. 10 drops of 3% hydrogen peroxide were added to the test tube and gently shaken.  3mL of petrol 40-60 was added and mixture shaken.", 0.78
"The aim of this experiment was to discover certain properties of SnI4 prepared through condensing and crystallisation. The pH, halide presence, solubility as compared to other salts, and organic solubility of a solution of the crystal were tested. Tin (1.0 g) and iodine (2.5 g) were measured and then placed in a flask for condensing. Toluene (10 mL) and 2-3 anti-bumping granules were added to the flask. This flask was connected to a clamped reflux condenser and heated using a hotplate at 60% power. Once the vapour becomes a vibrant orange and the condensing solvent becomes colourless, the hotplate was switched off. After condensing was complete, the solution was placed in another flask and 40-60 petroleum spirit (10 mL) was added. This flask was placed in an ice bath for approximately 5 minutes to encourage crystallisation. The residual tin in the previously heated flask was rinsed with acetone and weighed. After crystallisation has been completed, the crystals were dried through Buchner funnel and vacuum filtration, using 40-60 petroleum spirit to wash. Once the precipitate was massed, a solution was created using one micro-spatula tip in water (15-20 mL). The pH of this solution was measured using pH paper. The solution (1-2 mL) was mixed for 30 seconds with 0.1 M silver nitrate (4-5 drops) in a test tube and the resultant visual qualities were recorded. A Beilstein test was performed to test for halides by dipping heated copper wire in the solution and then heated again over a Bunsen burner. The flame colour was recorded. The solution (1-2 mL) was mixed for 30 seconds with 3% hydrogen peroxide in a third test tube, and petrol (2-3 mL) was added. The resultant visual qualities were recorded. The aim of this experiment was to discover certain properties of SnI4 prepared through condensing and crystallisation. The pH, halide presence, solubility as compared to other salts, and organic solubility of a solution of the crystal were tested. Tin (1.0 g) and iodine (2.5 g) were measured and then placed in a flask for condensing. Toluene (10 mL) and 2-3 anti-bumping granules were added to the flask. This flask was connected to a clamped reflux condenser and heated using a hotplate at 60% power. Once the vapour becomes a vibrant orange and the condensing solvent becomes colourless, the hotplate was switched off. After condensing was complete, the solution was placed in another flask and 40-60 petroleum spirit (10 mL) was added. This flask was placed in an ice bath for approximately 5 minutes to encourage crystallisation. The residual tin in the previously heated flask was rinsed with acetone and weighed. After crystallisation has been completed, the crystals were dried through Buchner funnel and vacuum filtration, using 40-60 petroleum spirit to wash. Once the precipitate was massed, a solution was created using one micro-spatula tip in water (15-20 mL). The pH of this solution was measured using pH paper. The solution (1-2 mL) was mixed for 30 seconds with 0.1 M silver nitrate (4-5 drops) in a test tube and the resultant visual qualities were recorded. A Beilstein test was performed to test for halides by dipping heated copper wire in the solution and then heated again over a Bunsen burner. The flame colour was recorded.", 0.68
"The aim of the experiment is to determine the reactivity of Sn(II) Iodide through various tests. It is possible to obtain Sn(IV) Iodide however Sn(II) will be used as it does not require an inert atmosphere to be formed. Using a 100mL round-bottom flask, heat 1 gram of tin metal, 2.5 grams of iodine, 10cm3 of toluene, and 2 or 3 anti bumping granules in a heating mantle. Attach a reflux condenser prior to turning on the heat. Turn the heating mantle to about 60% power and allow it to boil until the solution turns orange from its initial violet color. This solution should be decanted into a 100cm3 conical flask keeping the solid tin at the bottom. 10cm3 of petroleum spirit 40/60 should be added into the conical flask and allowed to cool. Weigh the tin metal that remains in the flask and set up a Buchner funnel. Wet the filter paper to be used with cold petroleum spirit, add the solution, and allow crystals to collect. Once thoroughly filtered, weigh the remaining crystals. Using a micro spatula, add one large heap of the crystals into 15-20mL of water and allow to dissolve. Test the pH of the solution using pH paper. Transfer 1-2 ml of the solution into 3 test tubes. In the first test tube, add 5 drops of silver nitrate, swirl the mixture, and record what occurs. In the second test tube, take a heated copper wire and dip it into the solution and record the color of the flame. 10 drops of 3% hydrogen peroxide should be added and mixed, followed by adding 2-3 drops of petrol. Note the observations you observe. The aim of the experiment is to determine the reactivity of Sn(II) Iodide through various tests. It is possible to obtain Sn(IV) Iodide however Sn(II) will be used as it does not require an inert atmosphere to be formed. Using a 100mL round-bottom flask, heat 1 gram of tin metal, 2.5 grams of iodine, 10cm3 of toluene, and 2 or 3 anti bumping granules in a heating mantle. Attach a reflux condenser prior to turning on the heat. Turn the heating mantle to about 60% power and allow it to boil until the solution turns orange from its initial violet color. This solution should be decanted into a 100cm3 conical flask keeping the solid tin at the bottom. 10cm3 of petroleum spirit 40/60 should be added into the conical flask and allowed to cool. Weigh the tin metal that remains in the flask and set up a Buchner funnel. Wet the filter paper to be used with cold petroleum spirit, add the solution, and allow crystals to collect. Once thoroughly filtered, weigh the remaining crystals.", 0.65
"Aim: The aim of this experiment was to prepare a tin iodide species, isolate it and examine its reactivity. Three tests were carried out to examine this. Firstly, the glassware was checked to see if it was dry. If it was not, then it was dried using acetone. 1g of tin metal and 2.5g of iodine pellets were then transferred into a 100mL Quickfit round-bottom flask. 10cm3 of toluene was then added with anti-bumping granules and it was then heated using a reflux condenser. Once heated until orange, the solution was decanted and 10cm3 of petroleum 40/60 was added. The residual tin metal was washed and weighed, and the solution was left to cool as orange crystals formed. The solution and crystals were then filtered under reduced pressure using a Buchner funnel. A heaped micro-spatula of SnI4 was dissolved in 15-20mL of water and three chemical tests were carried out: - 1-2mL of the solution was mixed with 5 drops of 0.1M silver nitrate A flame test was carried out using the solution 1-2mL of solution was mixed with 10 drops of 3% hydrogen peroxide and 2-3mL of petrol. Aim: The aim of this experiment was to prepare a tin iodide species, isolate it and examine its reactivity. Three tests were carried out to examine this. Firstly, the glassware was checked to see if it was dry. If it was not, then it was dried using acetone. 1g of tin metal and 2.5g of iodine pellets were then transferred into a 100mL Quickfit round-bottom flask. 10cm3 of toluene was then added with anti-bumping granules and it was then heated using a reflux condenser. Once heated until orange, the solution was decanted and 10cm3 of petroleum 40/60 was added. The residual tin metal was washed and weighed, and the solution was left to cool as orange crystals formed. The solution and crystals were then filtered under reduced pressure using a Buchner funnel. A heaped micro-spatula of SnI4 was dissolved in 15-20mL of water and three chemical tests were carried out: - 1-2mL of the solution was mixed with 5 drops of 0.1M silver nitrate A flame test was carried out using the solution", 0.63
"The aim of this experiment is to prepare SnI4 from its elements and isolate it in order to exploit its reactivity to examine whether it is SnI4 by Using a plastic filter funnel, transfer 1.0g of tin metal into a 100mL Quickfit round-bottom flask, then add 2.5g of iodine pellets. Add 10 cm3 of toluene along with 3 anti-bumping granules and connect a reflux condenser to the water supply. Place the flask in a heating mantle and clamp it to secure it and connect to the reflux condenser. Heat the solution until a violet vapor begins to condense until the condensing solution becomes clear, then switch off the mantle. Decant the hot solution into a 100 cm3 conical flask, ensuring the residual tin remains in the reaction flask. Add 10 cm3 of petroleum spirit 40-60 and allow it to cool. Orange crystals should begin to form, filter them off using a Buchner funnel and wash them with 10cm3 of cold petroleum spirit 40/60, then weigh the dried crystals.", 0.68
"The aim of this experiment was make tin iodide (SnI4) from Tin (Sn (IV) ) and Iodine (I2). The reactivity of the product was to be tested. I2 and Sn where reacted in an evaporatory rotator. Once the condensation drops were clear/ transparent, the product was transferred into a flask and left to cool down. The excess tin was dried, weighed. After the formation of orange crystals in the flask, the crystals were filtered and dried. A spatula tip of orange crystals was dissolved in 20ml of water and poured into 3 test tubes. 3 tests were then carried out to test the reactivity of the product. In the first test, the solution was mixed with silver nitrate. A Beilstein test was the second reactivity test. In the last test the solution was mixed with hydrogen peroxide then petroleum spirit. The aim of this experiment was make tin iodide (SnI4) from Tin (Sn (IV) ) and Iodine (I2). The reactivity of the product was to be tested. I2 and Sn where reacted in an evaporatory rotator. Once the condensation drops were clear/ transparent, the product was transferred into a flask and left to cool down. The excess tin was dried, weighed. After the formation of orange crystals in the flask, the crystals were filtered and dried.", 0.6
"The aim of the experiment was  to prepare a tin iodine species from its elements, isolate the prepared tin iodine and examine its reactivity via three tests: mixed with silver nitrate, Beilstein test and mixed with hydrogen peroxide and petrol. Solid tin (1.0 g) and iodine (2.5 g) was heated under reflux in a solution of toluene (10 cm3) until the solution turned from violet to orange. The solution was decanted into a conical flask (100 cm3). The remaining tin was washed out with acetone and weighed. Petroleum spirit 40/60 (10 cm3) was added to the conical flask and the conical flask was then cooled in an ice bath. After the crystals (SnI4) had evolved, the crystals were filtered via a Buchner funnel. The dry crystals were then weighed. A micro spatula heap of SnI4 crystals were dissolved in water. Test 1: added 4-5 drops of AgNO3 (0.1 M) to 1-2 cm3 of the dissolved SnI4. Test 2: Beilstein test, heated a copper wire, dipped it in the solution and heated it again under Bunsen flame. Test 3: added 10 drops of 3% hydrogen peroxide and petroleum spirit 40/60 (2-3 cm3). The aim of the experiment was  to prepare a tin iodine species from its elements, isolate the prepared tin iodine and examine its reactivity via three tests: mixed with silver nitrate, Beilstein test and mixed with hydrogen peroxide and petrol. Solid tin (1.0 g) and iodine (2.5 g) was heated under reflux in a solution of toluene (10 cm3) until the solution turned from violet to orange. The solution was decanted into a conical flask (100 cm3). The remaining tin was washed out with acetone and weighed. Petroleum spirit 40/60 (10 cm3) was added to the conical flask and the conical flask was then cooled in an ice bath. After the crystals (SnI4) had evolved, the crystals were filtered via a Buchner funnel. The dry crystals were then weighed. A micro spatula heap of SnI4 crystals were dissolved in water. Test 1: added 4-5 drops of AgNO3 (0.1 M) to 1-2 cm3 of the dissolved SnI4. Test 2: Beilstein test, heated a copper wire, dipped it in the solution and heated it again under Bunsen flame.", 0.8
"The aim was to prepare a tin iodide mixture from its constituent elements, and through condensing, the isolated crystals left, underwent tests to conclude how reactive the compound was. Tin (1.13g), iodine pellets (2.49g) and toluene (10cm3) were refluxed at approximately 170�C. The finished point of heating was identified when the condensed solvent dropping back into the round bottom flask became clear.  Once the solvent stopped condensing, whilst the solution was still hot, it was transferred (with the remaining solid tin left in the condensing flask) along with petroleum 40-60 (10cm3) into a conical flask, in an ice bath to quicken recrystallisation. Remaining tin was rinsed with acetone and left to dry (0.53g) whilst orange crystals began to form in conical flask.  These crystals were filtered, dried and weighed (1.97g). A generous microspatula tip of dried crystals were dissolved in water (20cm3) and shaken (pH of 1).  This solution was used for the following tests. Solution (2cm3) was transferred to test tube along with silver nitrate (0.1M, 5 drops).  Mixture was gently shaken for approximately 30 seconds. Solution (2cm3) was transferred to test tube.  A copper wire was heated until visibly glowing.  At this point, end of wire was dipped into test tube and then put back into flame. Solution (2cm3) was transferred to test tube along with hydrogen peroxide (3%, 10 drops).  Test tube was shaken for approximately 30 seconds before adding petroleum 40-60 (2-3cm3). Mixture was gently shaken again.", 0.65
